                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0237,                 1.5617,                  1.389,                0.36431,                0.38368,                0.30383,                0.11345,                 2.3717,                 2.2987,                 1.6734,              0.0090949,              0.0090949,              0.0090949
                     35,                 2.0184,                 1.5539,                 1.3903,                0.37455,                0.35492,                0.30784,                0.13287,                 2.3966,                 2.3182,                 1.6689,              0.0090666,              0.0090666,              0.0090666
                     36,                 2.0075,                 1.5375,                 1.3849,                0.44983,                0.35734,                0.34631,                0.14393,                 2.3838,                 2.2487,                 1.6849,              0.0090383,              0.0090383,              0.0090383
                     37,                   1.99,                 1.5096,                  1.374,                0.39692,                0.40044,                0.33375,                0.13561,                 2.3196,                 2.2692,                 1.6459,                0.00901,                0.00901,                0.00901
                     38,                 1.9801,                 1.4854,                 1.3589,                0.38447,                0.33549,                0.30169,                0.12923,                 2.3744,                  2.301,                 1.6532,              0.0089817,              0.0089817,              0.0089817
                     39,                 1.9671,                  1.465,                 1.3544,                0.41998,                0.35794,                0.33406,                0.13239,                 2.3918,                  2.242,                 1.6595,              0.0089534,              0.0089534,              0.0089534
                     40,                 1.9693,                 1.4653,                 1.3613,                0.35886,                0.36843,                0.31689,                0.12489,                 2.3848,                 2.2112,                 1.6674,              0.0089251,              0.0089251,              0.0089251
                     41,                 1.9497,                 1.4303,                   1.34,                0.37202,                0.36575,                0.29918,                0.12406,                 2.4103,                  2.267,                 1.6838,              0.0088969,              0.0088969,              0.0088969
                     42,                 1.9439,                 1.4258,                 1.3449,                0.45222,                0.35023,                0.34847,                0.14988,                 2.3698,                 2.2446,                 1.6913,              0.0088686,              0.0088686,              0.0088686
                     43,                 1.9301,                 1.3991,                 1.3364,                0.36899,                0.36324,                0.33451,                0.13543,                 2.3706,                 2.2786,                 1.6574,              0.0088403,              0.0088403,              0.0088403
