                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1359,                0.74032,                 1.1133,                0.70856,                0.54748,                0.54579,                0.28517,                 1.9987,                 1.6872,                 1.7956,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.1008,                0.69717,                  1.112,                0.66772,                0.57626,                0.63096,                0.32532,                 1.9834,                 1.7768,                 1.7821,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.1001,                0.71769,                 1.1151,                0.69982,                0.67043,                0.64746,                0.36407,                 1.9279,                 1.7358,                 1.7441,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.0977,                0.70208,                 1.1068,                 0.8504,                0.55875,                0.66826,                0.39121,                 1.9732,                 1.7159,                 1.7898,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.0788,                0.71323,                  1.112,                0.89678,                0.52374,                0.62805,                0.38523,                 1.9567,                  1.647,                 1.8236,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.0808,                0.73425,                 1.1063,                0.89276,                0.62816,                  0.682,                0.33268,                 1.9896,                 1.5922,                 1.7778,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.1059,                0.72546,                 1.1236,                0.68679,                0.65974,                0.63162,                0.31063,                 1.9954,                   1.72,                 1.7529,             0.00080883,             0.00080883,             0.00080883
                     80,                 1.0598,                0.70028,                 1.0881,                0.91099,                0.64514,                0.69058,                0.37311,                 1.9752,                 1.5556,                  1.759,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.0539,                 0.6898,                 1.0805,                0.77259,                0.67394,                0.67471,                0.35814,                 1.8962,                 1.6111,                 1.7126,             0.00078682,             0.00078682,             0.00078682
                     82,                  1.067,                0.68474,                 1.0987,                0.81493,                0.64125,                0.63155,                0.32897,                 1.9659,                 1.5343,                  1.775,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.0843,                0.70651,                 1.1052,                0.59063,                0.57821,                0.51059,                0.29389,                 1.9572,                 1.5681,                 1.7946,             0.00076482,             0.00076482,             0.00076482
                     84,                  1.051,                0.68701,                 1.0841,                0.75524,                0.55486,                0.51487,                0.30237,                 2.0093,                 1.7133,                 1.8164,             0.00075382,             0.00075382,             0.00075382
                     85,                 1.0514,                0.68737,                 1.0851,                0.76754,                0.65278,                 0.6334,                0.36287,                  1.941,                 1.5623,                 1.7943,             0.00074282,             0.00074282,             0.00074282
                     86,                   1.02,                0.67111,                 1.0736,                0.93573,                0.53359,                0.64769,                0.37284,                 1.9256,                 1.5961,                 1.7543,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.0247,                0.67551,                 1.0828,                0.88444,                0.55486,                0.66055,                0.36285,                 1.9083,                 1.6468,                 1.7576,             0.00072081,             0.00072081,             0.00072081
                     88,                0.99831,                0.64896,                 1.0595,                0.88402,                0.55486,                0.67057,                0.33153,                 1.9115,                 1.5911,                 1.7343,             0.00070981,             0.00070981,             0.00070981
                     89,                 1.0003,                0.62744,                 1.0676,                0.90723,                0.55298,                0.62963,                0.34909,                 1.8979,                 1.6837,                 1.7463,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.0241,                0.63771,                 1.0588,                0.81376,                0.55767,                0.60812,                0.32111,                 1.9313,                 1.9078,                 1.7723,              0.0006878,              0.0006878,              0.0006878
                     91,                0.99051,                0.61036,                 1.0483,                 0.8155,                0.63869,                0.66923,                0.37881,                 1.9306,                 1.7099,                 1.7788,              0.0006768,              0.0006768,              0.0006768
                     92,                 1.0217,                0.65726,                 1.0858,                 0.8753,                0.56265,                0.65513,                0.36354,                 1.8981,                 1.5129,                 1.7611,              0.0006658,              0.0006658,              0.0006658
                     93,                 1.0015,                0.64505,                 1.0776,                0.71862,                0.56848,                0.61633,                 0.3498,                 1.9146,                 1.6012,                 1.7713,              0.0006548,              0.0006548,              0.0006548
                     94,                 1.0041,                0.64959,                 1.0643,                0.86909,                0.44319,                0.59209,                 0.3388,                 1.9471,                 1.7073,                 1.7978,              0.0006438,              0.0006438,              0.0006438
                     95,                 1.0071,                0.63974,                 1.0664,                0.87507,                0.57287,                0.60556,                0.32615,                 1.8796,                 1.5841,                 1.7058,             0.00063279,             0.00063279,             0.00063279
                     96,                0.97573,                0.61661,                 1.0577,                0.88604,                0.57821,                0.64182,                0.34844,                 1.8868,                 1.6112,                 1.7245,             0.00062179,             0.00062179,             0.00062179
                     97,                0.98729,                0.62616,                 1.0556,                0.72819,                 0.6821,                 0.6716,                0.33558,                 1.9042,                 1.6625,                  1.719,             0.00061079,             0.00061079,             0.00061079
                     98,                0.95639,                0.61742,                 1.0442,                0.73093,                0.68599,                0.65296,                0.31764,                 1.9321,                 1.5554,                 1.7754,             0.00059979,             0.00059979,             0.00059979
                     99,                0.94262,                0.60742,                 1.0326,                 0.8871,                0.56848,                0.60872,                0.32881,                 1.8909,                 1.5592,                 1.7616,             0.00058878,             0.00058878,             0.00058878
                    100,                0.93451,                0.59098,                  1.046,                0.79402,                0.56348,                0.62947,                0.35584,                 1.8899,                  1.668,                 1.7564,             0.00057778,             0.00057778,             0.00057778
                    101,                0.94718,                0.63678,                 1.0533,                0.86598,                0.57266,                0.66763,                0.36234,                 1.9405,                 1.6222,                 1.7862,             0.00056678,             0.00056678,             0.00056678
                    102,                0.96023,                0.60923,                 1.0389,                0.78088,                0.56876,                0.62717,                0.34706,                 1.8772,                  1.612,                 1.7361,             0.00055578,             0.00055578,             0.00055578
                    103,                0.92368,                0.57081,                 1.0098,                0.77782,                 0.5821,                0.63394,                0.33023,                 1.8322,                 1.5715,                 1.6895,             0.00054478,             0.00054478,             0.00054478
                    104,                 0.9268,                 0.5754,                 1.0249,                0.89776,                0.54514,                0.60951,                0.34709,                 1.8889,                 1.5295,                 1.7383,             0.00053377,             0.00053377,             0.00053377
                    105,                0.96158,                  0.609,                 1.0352,                0.77829,                0.56815,                0.61285,                0.36569,                 1.8688,                 1.6522,                 1.7094,             0.00052277,             0.00052277,             0.00052277
                    106,                0.92414,                0.59157,                 1.0252,                0.92456,                0.56738,                0.65985,                 0.4299,                 1.8973,                 1.6327,                 1.7234,             0.00051177,             0.00051177,             0.00051177
                    107,                 0.9218,                0.57642,                 1.0211,                0.84951,                0.56654,                0.63085,                0.38521,                 1.8289,                 1.5993,                 1.6912,             0.00050077,             0.00050077,             0.00050077
                    108,                0.89965,                0.57498,                 1.0186,                0.87627,                0.56654,                0.62534,                0.37499,                 1.8352,                 1.6013,                 1.6969,             0.00048976,             0.00048976,             0.00048976
                    109,                0.88071,                0.56686,                 1.0065,                0.91011,                 0.5607,                 0.6233,                 0.3639,                 1.8266,                 1.5564,                 1.7005,             0.00047876,             0.00047876,             0.00047876
                    110,                0.89356,                0.57203,                 1.0134,                0.92375,                0.55875,                0.63247,                0.36688,                 1.7973,                 1.4895,                 1.6813,             0.00046776,             0.00046776,             0.00046776
                    111,                0.85756,                0.55303,                 1.0031,                0.91183,                 0.5584,                0.62473,                0.35965,                 1.7942,                 1.4848,                 1.6471,             0.00045676,             0.00045676,             0.00045676
                    112,                 0.8753,                0.54139,                 1.0002,                0.91217,                0.56459,                0.62532,                0.32354,                 1.8213,                 1.5092,                 1.7211,             0.00044576,             0.00044576,             0.00044576
                    113,                0.87909,                0.56043,                 1.0059,                0.93727,                0.55233,                 0.6203,                0.33255,                 1.8075,                 1.4988,                 1.6839,             0.00043475,             0.00043475,             0.00043475
                    114,                0.88158,                0.55854,                0.99947,                0.91123,                0.56555,                0.60609,                0.33596,                 1.7885,                 1.5405,                  1.722,             0.00042375,             0.00042375,             0.00042375
                    115,                0.86539,                0.52927,                0.99673,                0.91484,                0.56269,                0.63077,                0.32176,                 1.8034,                 1.4994,                 1.7422,             0.00041275,             0.00041275,             0.00041275
                    116,                0.88161,                0.55791,                 1.0091,                0.94188,                0.54514,                0.62429,                0.34383,                 1.7764,                 1.5133,                 1.6868,             0.00040175,             0.00040175,             0.00040175
                    117,                 0.8422,                0.52861,                0.99723,                0.90535,                0.54716,                0.59868,                0.34494,                 1.8153,                 1.6434,                 1.7112,             0.00039074,             0.00039074,             0.00039074
                    118,                0.85776,                0.52939,                0.99983,                0.90471,                0.56459,                0.63102,                0.34934,                 1.8186,                 1.5307,                 1.7047,             0.00037974,             0.00037974,             0.00037974
                    119,                0.81901,                0.52284,                0.97186,                0.91908,                0.55292,                0.61692,                0.34114,                 1.7754,                 1.5648,                 1.6926,             0.00036874,             0.00036874,             0.00036874
                    120,                0.84505,                 0.5285,                0.99163,                0.90596,                0.54514,                0.65662,                0.37952,                 1.8078,                  1.541,                 1.7151,             0.00035774,             0.00035774,             0.00035774
                    121,                0.85063,                0.54125,                0.99133,                0.86567,                0.55486,                0.60418,                0.33791,                   1.85,                 1.5826,                 1.7513,             0.00034674,             0.00034674,             0.00034674
                    122,                0.85024,                0.55531,                0.98402,                0.92391,                 0.5506,                0.59736,                 0.3493,                 1.8156,                  1.528,                 1.7148,             0.00033573,             0.00033573,             0.00033573
                    123,                0.83793,                0.52478,                 1.0024,                 0.9385,                0.54294,                0.60758,                0.33824,                 1.7931,                 1.6342,                 1.7057,             0.00032473,             0.00032473,             0.00032473
                    124,                0.80206,                0.51644,                0.97962,                 0.9338,                0.54514,                0.60352,                0.30545,                 1.7809,                 1.5719,                 1.6611,             0.00031373,             0.00031373,             0.00031373
                    125,                 0.7922,                 0.4991,                0.97071,                0.93705,                0.55292,                0.60363,                0.31995,                 1.7452,                 1.5277,                 1.6441,             0.00030273,             0.00030273,             0.00030273
                    126,                0.83831,                0.52939,                0.98735,                0.92055,                0.55875,                0.60851,                0.36086,                 1.7596,                 1.6251,                 1.6577,             0.00029172,             0.00029172,             0.00029172
                    127,                0.80293,                0.50658,                 0.9587,                0.93806,                0.55875,                0.62808,                0.34995,                 1.7755,                 1.5857,                 1.6685,             0.00028072,             0.00028072,             0.00028072
                    128,                0.80634,                0.51873,                0.97802,                0.91731,                0.56265,                0.63171,                0.37447,                 1.7941,                 1.6296,                 1.7061,             0.00026972,             0.00026972,             0.00026972
                    129,                0.81161,                 0.5092,                0.96816,                0.93199,                0.56459,                0.63286,                0.31368,                 1.8124,                 1.5706,                 1.6995,             0.00025872,             0.00025872,             0.00025872
                    130,                0.77863,                0.49717,                0.95696,                 0.9157,                0.56031,                0.60174,                0.35197,                 1.8101,                 1.5096,                 1.7124,             0.00024772,             0.00024772,             0.00024772
                    131,                0.77491,                0.48632,                0.95354,                0.92538,                0.56253,                0.62557,                0.34592,                 1.8015,                 1.5597,                 1.6991,             0.00023671,             0.00023671,             0.00023671
                    132,                0.75928,                0.49795,                0.95203,                0.93928,                0.54858,                0.60586,                0.31462,                 1.7704,                 1.5971,                 1.6531,             0.00022571,             0.00022571,             0.00022571
                    133,                0.75948,                0.49779,                 0.9665,                0.94668,                0.55486,                0.60575,                0.33997,                 1.7568,                 1.5856,                 1.6514,             0.00021471,             0.00021471,             0.00021471
                    134,                0.75873,                0.48966,                0.95082,                0.91414,                0.55872,                 0.6046,                0.33725,                 1.7912,                 1.6369,                 1.6909,             0.00020371,             0.00020371,             0.00020371
                    135,                0.73183,                0.46002,                0.94185,                0.93173,                0.55292,                0.60431,                0.34261,                 1.7909,                  1.592,                 1.7049,             0.00019271,             0.00019271,             0.00019271
                    136,                0.76795,                0.48497,                0.95465,                0.92958,                0.56043,                0.60966,                0.34618,                 1.7937,                 1.5778,                 1.6917,              0.0001817,              0.0001817,              0.0001817
                    137,                0.72659,                0.48452,                0.95511,                0.91634,                0.55999,                0.60525,                0.31148,                 1.7688,                 1.6611,                 1.6415,              0.0001707,              0.0001707,              0.0001707
                    138,                0.74397,                0.47072,                 0.9365,                0.93093,                 0.5607,                0.61159,                0.34363,                 1.7623,                 1.5906,                 1.6614,              0.0001597,              0.0001597,              0.0001597
                    139,                0.73319,                0.46748,                0.93656,                  0.944,                0.55239,                0.63027,                0.32796,                 1.7816,                 1.6309,                 1.6959,              0.0001487,              0.0001487,              0.0001487
                    140,                0.69586,                 0.4231,                0.93193,                0.94844,                0.54661,                 0.6281,                0.34413,                 1.7766,                 1.5303,                 1.6861,             0.00013769,             0.00013769,             0.00013769
                    141,                0.67152,                0.39542,                 0.9318,                 0.9402,                0.55669,                0.64378,                0.36051,                 1.7737,                 1.5046,                 1.6961,             0.00012669,             0.00012669,             0.00012669
                    142,                0.64038,                0.39037,                 0.9249,                0.94514,                 0.5643,                0.64421,                0.37835,                 1.7572,                 1.5425,                 1.6915,             0.00011569,             0.00011569,             0.00011569
                    143,                0.65589,                0.39041,                0.92514,                0.93009,                0.56483,                0.64487,                0.37942,                 1.7445,                 1.5297,                 1.6567,             0.00010469,             0.00010469,             0.00010469
                    144,                 0.6384,                0.38472,                0.92217,                0.93276,                0.56265,                0.65368,                0.36927,                 1.7245,                 1.5036,                 1.6262,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.64279,                0.39128,                0.92544,                0.90507,                0.56368,                0.64003,                0.37839,                 1.7378,                  1.501,                 1.6277,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.64063,                0.38629,                0.91711,                0.91812,                0.56317,                0.62295,                0.35638,                 1.7355,                 1.4754,                 1.6327,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                 0.6248,                0.38117,                0.90742,                0.92807,                0.55901,                0.62634,                0.36724,                 1.7204,                 1.4627,                 1.6308,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.61778,                0.37179,                0.89636,                0.93878,                0.56009,                0.64358,                0.33794,                 1.7318,                 1.5348,                 1.6505,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.61508,                0.37847,                0.91025,                0.93962,                0.56394,                0.64328,                0.35335,                 1.7235,                 1.4982,                 1.6387,             3.8674e-05,             3.8674e-05,             3.8674e-05
