                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7742,                 5.9676,                 2.0964,                0.52328,                0.04669,                0.01263,                0.00331,                 2.9358,                  18.36,                  2.356,             0.00054304,             0.00054304,             0.00054304
                      1,                 2.4638,                 3.0864,                 1.8931,                0.00613,                0.00778,                0.00132,                0.00038,                 2.9899,                 11.771,                 2.4693,              0.0010915,              0.0010915,              0.0010915
                      2,                 2.4768,                 2.9027,                 1.9521,                0.00359,                0.04475,                0.00162,                0.00053,                 2.9462,                 28.342,                 2.7311,              0.0016325,              0.0016325,              0.0016325
                      3,                 2.4285,                 2.8515,                 1.9761,                0.00011,                0.02529,                  6e-05,                  1e-05,                  4.154,                    inf,                 8.5543,               0.001634,               0.001634,               0.001634
                      4,                 2.4074,                 2.6361,                 1.9352,                0.58641,                 0.0642,                 0.0511,                0.01868,                 2.7425,                 3.3924,                 2.3231,               0.001634,               0.001634,               0.001634
                      5,                 2.3062,                 2.4475,                 1.8744,                0.11333,                 0.0747,                0.05068,                0.01851,                 2.6347,                 4.2056,                 2.1264,               0.001623,               0.001623,               0.001623
                      6,                 2.2255,                 2.4516,                 1.8489,                0.11866,                0.48093,                0.11855,                0.03127,                 2.6793,                 4.0507,                 2.1287,               0.001612,               0.001612,               0.001612
                      7,                 2.2092,                 2.2834,                 1.7862,                0.13558,                0.28093,                 0.1365,                 0.0582,                 2.5189,                 3.1239,                 2.0766,               0.001601,               0.001601,               0.001601
                      8,                 2.2053,                 2.3369,                 1.8016,                0.17186,                0.08171,                0.09005,                0.03028,                 2.6541,                 2.8596,                 2.2069,                0.00159,                0.00159,                0.00159
                      9,                 2.1554,                 2.1966,                 1.7319,                 0.0814,                0.14008,                0.17933,                0.06615,                 2.5225,                  2.773,                  2.118,               0.001579,               0.001579,               0.001579
                     10,                 2.1048,                 2.0614,                 1.7055,                0.26067,                0.35175,                 0.3131,                0.15811,                 2.4259,                  2.631,                 2.0162,               0.001568,               0.001568,               0.001568
                     11,                 2.1293,                 2.0782,                  1.714,                0.67044,                0.15953,                0.15977,                0.05696,                  2.475,                 2.7512,                 2.0525,               0.001557,               0.001557,               0.001557
                     12,                  2.061,                 1.9477,                  1.692,                0.12635,                0.20408,                0.17876,                0.07738,                 2.3992,                 2.4276,                  2.085,               0.001546,               0.001546,               0.001546
                     13,                  1.986,                 1.9124,                 1.6645,                0.17126,                0.16342,                0.15087,                0.05243,                 2.4076,                 2.3847,                 2.0379,               0.001535,               0.001535,               0.001535
                     14,                 1.9904,                 1.8175,                 1.6535,                0.46749,                0.30233,                0.28801,                0.10756,                 2.4631,                 2.3352,                 2.0228,               0.001524,               0.001524,               0.001524
                     15,                 1.9489,                 1.8247,                 1.6419,                0.23973,                0.35235,                0.29129,                0.10767,                 2.3829,                 2.4846,                 2.0162,               0.001513,               0.001513,               0.001513
                     16,                 1.9548,                 1.7853,                 1.6339,                 0.2706,                0.38482,                0.26398,                0.09977,                 2.2639,                 2.6233,                 1.9278,               0.001502,               0.001502,               0.001502
                     17,                 1.8597,                 1.7125,                 1.5615,                0.48477,                0.41673,                0.31892,                0.12504,                 2.4264,                 2.3457,                 2.0281,               0.001491,               0.001491,               0.001491
                     18,                 1.7791,                 1.5903,                 1.5238,                0.29086,                0.39066,                0.27093,                0.11068,                 2.3461,                 2.2824,                 1.9199,                0.00148,                0.00148,                0.00148
                     19,                 1.8089,                 1.5871,                 1.5132,                0.44768,                0.24587,                0.22931,                0.07794,                 2.3823,                 2.2853,                 2.0183,               0.001469,               0.001469,               0.001469
                     20,                 1.8243,                 1.6278,                 1.5798,                0.39976,                0.34981,                0.24476,                0.10267,                   2.32,                 2.2375,                 1.9752,               0.001458,               0.001458,               0.001458
                     21,                 1.7991,                  1.558,                 1.5412,                0.22594,                0.35257,                0.26517,                0.10083,                 2.2702,                 2.3061,                 1.9871,               0.001447,               0.001447,               0.001447
                     22,                 1.7402,                 1.5076,                 1.5016,                0.49422,                0.45175,                0.31624,                0.10716,                 2.3776,                 2.3037,                 1.9514,               0.001436,               0.001436,               0.001436
                     23,                 1.7687,                  1.534,                 1.5267,                0.65192,                 0.3965,                0.41938,                0.11962,                 2.3497,                 2.2188,                 1.9884,               0.001425,               0.001425,               0.001425
                     24,                  1.744,                 1.4906,                 1.4672,                0.52343,                0.35953,                 0.3437,                0.15744,                 2.3853,                 2.1438,                 2.0362,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.6692,                 1.3749,                 1.4426,                0.28064,                0.34514,                0.26135,                0.11558,                 2.2937,                 2.1084,                 1.9551,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.7289,                 1.4164,                 1.4791,                0.32248,                0.35308,                 0.3058,                0.11783,                 2.2848,                 2.1125,                 1.9183,              0.0013919,              0.0013919,              0.0013919
                     27,                  1.673,                 1.3376,                 1.4201,                0.76658,                0.18093,                0.20283,                0.07442,                 2.2919,                  2.297,                 1.9121,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.6652,                 1.4155,                 1.4145,                0.27742,                0.19066,                0.20891,                0.08091,                 2.3304,                 2.2624,                 1.9552,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.6375,                 1.3242,                 1.4143,                0.35658,                0.46459,                0.34783,                0.15292,                 2.1487,                 2.0369,                 1.8298,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.5984,                 1.2655,                 1.4254,                0.81825,                  0.201,                0.30143,                0.11087,                  2.264,                 2.0331,                 1.9238,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.5779,                 1.2384,                  1.378,                0.81361,                0.20296,                0.31043,                0.13897,                 2.1496,                 1.9875,                 1.8881,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.5361,                 1.2127,                  1.374,                0.26002,                0.31634,                  0.297,                0.12335,                 2.2397,                 2.3297,                  1.966,              0.0013259,              0.0013259,              0.0013259
                     33,                  1.531,                 1.2124,                 1.3671,                0.26422,                0.21401,                0.24502,                0.11359,                 2.1639,                 2.0962,                 1.8697,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.5348,                  1.179,                 1.3764,                0.83934,                0.18677,                0.23982,                0.10333,                 2.2763,                 2.0679,                 1.8983,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.5218,                 1.1111,                 1.3421,                0.57653,                0.41401,                0.35383,                0.17399,                 2.2963,                 2.0977,                  1.954,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.4838,                  1.127,                 1.3136,                0.55361,                0.51012,                0.44416,                0.20172,                 2.2386,                 2.0115,                 1.9346,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.4683,                 1.1061,                 1.3301,                0.67634,                 0.3751,                 0.4472,                0.23776,                 2.2574,                 1.9843,                 1.9456,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.5199,                 1.1586,                 1.3405,                0.55164,                0.54125,                0.46068,                0.22365,                  2.326,                  2.127,                 1.9333,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.4493,                 1.1143,                 1.3003,                0.27219,                0.47237,                0.33884,                0.14223,                 2.2306,                 2.0316,                 1.9188,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.4362,                 1.0754,                 1.2967,                0.84409,                0.49261,                0.54823,                0.25819,                 2.2401,                  1.907,                 1.9864,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.4242,                 1.0377,                  1.286,                0.64312,                0.50716,                0.52223,                0.21694,                 2.2512,                 2.2616,                  1.922,              0.0012269,              0.0012269,              0.0012269
                     42,                  1.482,                 1.1084,                 1.3385,                0.22779,                0.36848,                0.30257,                0.12359,                 2.1856,                 1.9653,                 1.8822,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.4416,                 1.0491,                 1.2934,                0.46339,                0.55292,                0.46008,                0.21283,                   2.19,                 1.8942,                 1.8721,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.4098,                  1.045,                 1.2929,                0.62068,                0.31368,                0.43124,                0.20126,                 2.1602,                 1.7638,                 1.8716,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.4123,                 1.0137,                  1.282,                0.75188,                0.32957,                 0.4813,                0.21945,                 2.1559,                 1.8187,                 1.8369,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.3618,                0.98311,                 1.2579,                0.77565,                0.29512,                 0.4099,                0.18735,                 2.1697,                 1.8694,                 1.8821,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.3564,                0.95733,                 1.2486,                0.82184,                0.41401,                0.51739,                 0.2132,                 2.2399,                 1.8665,                 1.9543,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.3178,                0.93687,                 1.2312,                0.87434,                0.22179,                0.34067,                0.14715,                 2.1958,                  1.898,                 1.8744,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.3275,                0.93111,                 1.2272,                0.35548,                0.23541,                0.28335,                0.13278,                 2.1517,                 1.7688,                 1.8828,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.3573,                0.98618,                 1.2694,                0.81408,                0.53541,                0.56193,                0.27359,                 2.2561,                 1.8871,                 1.9603,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.3787,                0.95353,                 1.2623,                 0.8634,                 0.3965,                 0.4955,                0.27078,                 2.1202,                 1.9259,                 1.7872,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.2833,                0.88474,                 1.2292,                0.78343,                0.54585,                0.61242,                0.23678,                 2.0873,                 1.7354,                 1.8104,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.2657,                0.85465,                 1.2062,                0.89166,                0.50175,                0.54621,                 0.2814,                 2.2138,                 2.0364,                 1.9373,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.3366,                0.91193,                 1.2242,                 0.6705,                0.53152,                0.60421,                0.25618,                 2.1214,                 1.8816,                 1.8519,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.2582,                0.89913,                 1.1984,                0.67205,                0.55486,                0.57535,                  0.302,                 2.1517,                 1.8331,                 1.8685,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.2614,                0.90121,                 1.2081,                 0.7059,                 0.4821,                0.57246,                0.29786,                 2.1014,                 1.8677,                 1.8267,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.2947,                0.87706,                 1.2167,                0.88918,                0.22179,                0.41284,                 0.1796,                 2.1502,                 1.9232,                 1.8647,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.2563,                0.85346,                 1.1969,                0.79961,                0.55292,                0.56498,                0.32191,                 2.1505,                 1.7613,                 1.9009,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.2161,                0.81838,                 1.1712,                0.77713,                0.68016,                 0.6707,                0.30629,                 2.0748,                 1.8056,                 1.8248,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.2668,                0.85125,                 1.2001,                0.74591,                0.57432,                0.58866,                0.32692,                 2.0478,                  1.758,                 1.8207,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.2237,                0.85395,                 1.1833,                0.73969,                0.47432,                0.54444,                0.32146,                 2.0862,                 1.7082,                 1.8976,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.2509,                0.84031,                 1.1962,                0.86168,                0.53428,                0.57135,                 0.3347,                  2.064,                  1.948,                  1.788,             0.00099587,             0.00099587,             0.00099587
                     63,                  1.239,                0.84047,                 1.1968,                0.86493,                0.53735,                0.56892,                0.30342,                 2.0508,                 1.9725,                 1.7733,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.2058,                0.80351,                 1.1688,                0.64746,                  0.476,                0.45196,                 0.2231,                 2.0586,                 1.7002,                  1.825,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.1853,                0.76829,                 1.1488,                0.63158,                0.56296,                0.56631,                0.32193,                 2.0997,                  1.786,                 1.8731,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.2191,                0.80189,                 1.1738,                0.51002,                0.57176,                0.51587,                0.27231,                 2.0504,                 1.7308,                 1.8263,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.1945,                0.77234,                 1.1722,                0.68631,                0.55097,                0.47857,                0.26069,                 2.0705,                 1.8742,                 1.8364,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.1942,                0.78437,                 1.1566,                0.62437,                0.55577,                0.55405,                0.31171,                 2.0518,                 1.8099,                 1.8194,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.1521,                0.76732,                 1.1518,                0.88238,                  0.545,                0.62477,                0.33651,                 1.9475,                 1.6313,                 1.7478,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.1109,                0.73219,                  1.132,                0.79784,                0.66848,                0.69274,                0.36501,                 1.9486,                 1.6621,                  1.759,             0.00090785,             0.00090785,             0.00090785
                     71,                  1.147,                0.73018,                 1.1437,                0.85616,                0.67043,                0.72789,                0.32918,                 2.0068,                 1.6645,                  1.829,             0.00089685,             0.00089685,             0.00089685
                     72,                  1.164,                0.78524,                 1.1527,                0.60447,                 0.5607,                0.51908,                0.25632,                 2.0267,                 1.8631,                 1.7859,             0.00088584,             0.00088584,             0.00088584
